Key|English Content|Welsh Content
yearList.13.1994|1994|1994
numEmploymentsList.8.8|8|8
numEmploymentsList.10.10|10|10
tAndcEBTI|/information/terms|/information/terms
numBusinessesList.2.2|2|2
authoriseAgentFormFbi2|http://www.hmrc.gov.uk/efiling/paye/fbi2.pdf|http://www.hmrc.gov.uk/efiling/paye/fbi2.pdf
vatRegistration|/channelsPortalWebApp/httpssl/vatreg/VatRegController.jpf|/channelsPortalWebApp/httpssl/vatreg/VatRegController.jpf
foreignTaxCreditReliefRates.12.17.00|17%|17%
cym|Cymraeg|Cymraeg
ncts|/nctsPortalWebApp/ncts.portal?_nfpb=true&amp;_pageLabel=httpsslPageOnlineServices_AppNCTS_Home|/nctsPortalWebApp/ncts.portal?_nfpb=true&amp;_pageLabel=httpsslPageOnlineServices_AppNCTS_Home
yearList.7.1988|1988|1988
candelogin|http://customs.hmrc.gov.uk/SecurityWebApp/?_Nfpb=true&amp;_pageLabel=httpsslPageOnlineServices_Login&amp;httpsLogin_actionOverride=/security/login/begin|http://customs.hmrc.gov.uk/SecurityWebApp/?_Nfpb=true&amp;_pageLabel=httpsslPageOnlineServices_Login&amp;httpsLogin_actionOverride=/security/login/begin
numBusinessesList.3.3|3|3
numEmploymentsList.7.7|7|7
viewHtml.sa103f.q96|96. Net profit or loss (box 47 or box 48):|96. Net profit or loss (box 47 or box 48):
registration|/registration/options|/registration/options
foreignTaxCreditReliefRates.13.18.00|18%|18%
numEmploymentsList.15.15|15|15
eng|English|English
numBusinessesList.4.4|4|4
UTR|UTR|UTR
numEmploymentsList.6.6|6|6
countryList.3.DZA|Algeria DZA|Algeria DZA
foreignTaxCreditReliefRates.7.8.00|8%|8%
isItSecureLink|Yet to get from business|Yet to get from business
foreignTaxCreditReliefRates.15.25.00|25%|25%
numEmploymentsList.5.5|5|5
countryList.28.BWA|Botswana BWA|Botswana BWA
numBusinessesList.5.5|5|5
countryList.18.BRB|Barbados BRB|Barbados BRB
tAndcVATAgent|/information/terms|/information/terms
countryList.10.ARM|Armenia ARM|Armenia ARM
yearList.1.1982|1982|1982
foreignTaxCreditReliefRates.2.2.00|2%|2%
tAndcNES|/information/terms|/information/terms
numEmploymentsList.14.14|14|14
tAndcRebatedOils|/information/terms|/information/terms
foreignTaxCreditReliefRates.10.12.50|12.5%|12.5%
yearList.11.1992|1992|1992
pageDeleteForeignProperty|$NAME|$NAME
findATaxOffice|http://search2.hmrc.gov.uk/kbroker/hmrc/locator/locator.jsp|http://search2.hmrc.gov.uk/kbroker/hmrc/locator/locator.jsp
termsAndConditions|/information/terms|/information/terms
legalChanges|http://customs.hmrc.gov.uk/channelsPortalWebApp/channelsPortalWebApp.portal?_nfpb=true&amp;_pageLabel=pageOnlineServices_ShowContent&amp;id=HMCE_PROD1_026374&amp;propertyType=document|http://customs.hmrc.gov.uk/channelsPortalWebApp/channelsPortalWebApp.portal?_nfpb=true&amp;_pageLabel=pageOnlineServices_ShowContent&amp;id=HMCE_PROD1_026374&amp;propertyType=document
ePrompts|/eprompt/httpssl/start.do|/eprompt/httpssl/start.do
yearList.2.1983|1983|1983
countryList.2.ALB|Albania ALB|Albania ALB
rcsl|/rcsl/httpsslHome.do|/rcsl/httpsslHome.do
thisFileInfoKB| KB| KB
vatVariations|/evatvar/httpssl/start.do|/evatvar/httpssl/start.do
siteContentTools|https://customs.hmrc.gov.uk/SecurityWebApp/security/myservices/processSiteTools.do|https://customs.hmrc.gov.uk/SecurityWebApp/security/myservices/processSiteTools.do
tAndcVATReturns|/information/terms|/information/terms
yearList.14.1995|1995|1995
foreignTaxCreditReliefRates.14.20.00|20%|20%
foreignTaxCreditReliefRates.4.5.00|5%|5%
tAndcEMCS|/information/terms|/information/terms
foreignTaxCreditReliefRates.3.3.00|3%|3%
yearList.4.1985|1985|1985
atwd|/atwd/httpssl/start.do|/atwd/httpssl/start.do
loanInterestPaymentsRestricted|Loan Interest&pound;$DEDN_LOAN reduced to maximum allowable|Loan Interest&pound;$DEDN_LOAN reduced to maximum allowable
tAndcOrg|/information/terms|/information/terms
foreignTaxCreditReliefRates.5.7.00|7%|7%
authoriseAgentForm64-8|http://www.hmrc.gov.uk/forms/64-8.pdf|http://www.hmrc.gov.uk/forms/64-8.pdf
pageDeleteBusiness|$BUSINESS_NAME|$BUSINESS_NAME
yearList.16.1997|1997|1997
yearList.9.1990|1990|1990
numEmploymentsList.13.13|13|13
numEmploymentsList.9.9|9|9
countryList.22.BEN|Benin BEN|Benin BEN
countryList.16.BHR|Bahrain BHR|Bahrain BHR
tAndcVATRCSL|/information/terms|/information/terms
foreignTaxCreditReliefRates.9.12.00|12%|12%
numPartnershipsList.5.5|5|5
foreignPropertyGroupHeading|$incomeReference|$incomeReference
itemB|(B)|(B)
itemA|(A)|(A)
pageDeleteFullBusiness|$BUSINESS_NAME|$BUSINESS_NAME
countryList.17.BGD|Bangladesh BGD|Bangladesh BGD
foreignTaxCreditReliefRates.8.10.00|10%|10%
siteContent|/channelsPortalWebApp/channelsPortalWebApp.portal?_nfpb=true&amp;_pageLabel=httpsslPageMySite_Home|/channelsPortalWebApp/channelsPortalWebApp.portal?_nfpb=true&amp;_pageLabel=httpsslPageMySite_Home
referenceInfo|[XXXXXXXXXXXXXXXXXX]|[XXXXXXXXXXXXXXXXXX]
pageDeleteShortPartnership|$PARTNERSHIP_NAME|$PARTNERSHIP_NAME
privacyStatement|http://www.hmrc.gov.uk/about/privacy.htm|http://www.hmrc.gov.uk/about/privacy.htm
year08|2016-17:|2016-17:
year07|2015-16:|2015-16:
year06|2014-15:|2014-15:
year05|2013-14:|2013-14:
selfEmploymentGroupHeading|$businessName|$businessName
yearList.17.1998|1998|1998
numEmploymentsList.12.12|12|12
yearList.6.1987|1987|1987
titleTableHeadingCost|Cost|Cost
lostOrExpiredActivationPin|https://online.hmrc.gov.uk/information/faqs?affinitygroup=&amp;faqid=eng.faq.employers.faq.faqcom046|https://online.hmrc.gov.uk/information/faqs?affinitygroup=&amp;faqid=eng.faq.employers.faq.faqcom046
numPartnershipsList.3.3|3|3
hmrcHome|http://www.hmrc.gov.uk|http://www.hmrc.gov.uk
delLimitOnIncomeTaxLossesLink|<a href="delLimitOnIncomeTaxLosses">Delete Limit on Income Tax relief section</a>|<a href="delLimitOnIncomeTaxLosses">Delete Limit on Income Tax relief section</a>
ecsl|/ecsl/httpssl/start.do|/ecsl/httpssl/start.do
pageDeleteEmployer|$EMPLOYER_NAME|$EMPLOYER_NAME
countryList.5.AND|Andorra AND|Andorra AND
yearList.12.1993|1993|1993
ComputationPageDescription|$gainReference|$gainReference
partnershipGroupHeading|$partnershipName|$partnershipName
tAndcNCTS|http://customs.hmrc.gov.uk/channelsPortalWebApp/channelsPortalWebApp.portal?_nfpb=true&amp;_pageLabel=pageOnlineServices_FAQs&amp;propertyType=document&amp;columns=1&amp;id=HMCE_PROD_010904|http://customs.hmrc.gov.uk/channelsPortalWebApp/channelsPortalWebApp.portal?_nfpb=true&amp;_pageLabel=pageOnlineServices_FAQs&amp;propertyType=document&amp;columns=1&amp;id=HMCE_PROD_010904
numPartnershipsList.4.4|4|4
ageAllowance|Age- related Personal Allowance|Age- related Personal Allowance
pageDeleteShortBusiness|$BUSINESS_NAME|$BUSINESS_NAME
foreignTaxCreditReliefRates.6.7.50|7.5%|7.5%
numEmploymentsList.4.4|4|4
employmentGroupHeading|$employerName|$employerName
accessibility|http://www.hmrc.gov.uk/about/accessibility.htm|http://www.hmrc.gov.uk/about/accessibility.htm
foreignTaxCreditReliefRates.1.0.00|0%|0%
year2008|2016-17:|2016-17:
year2007|2015-16:|2015-16:
year2006|2014-15:|2014-15:
year2005|2013-14:|2013-14:
countryList.6.AGO|Angola AGO|Angola AGO
tAndcSharedWorksapce|/information/terms|/information/terms
yearList.15.1996|1996|1996
pageDeleteFullPartnership|$PARTNERSHIP_NAME|$PARTNERSHIP_NAME
numEmploymentsList.3.3|3|3
countryList.15.BHS|Bahamas BHS|Bahamas BHS
numPartnershipsList.2.2|2|2
foreignTaxCreditReliefRates.11.15.00|15%|15%
yearList.8.1989|1989|1989
numEmploymentsList.11.11|11|11
numPartnershipsList.1.1|1|1
yearList.5.1986|1986|1986
tAndcDDES|/information/terms|/information/terms
tAndcTiedOils|/information/terms|/information/terms
tAndcVATECSL|/information/terms|/information/terms
pensionsApplyId|https://pensionschemes.hmrc.gov.uk/pso/reg/registeruserinitialquestions.aspx|https://pensionschemes.hmrc.gov.uk/pso/reg/registeruserinitialquestions.aspx
numEmploymentsList.2.2|2|2
agentReferenceService|https://www.iragentreg.gov.uk/agentreference/agent_registration.htm|https://www.iragentreg.gov.uk/agentreference/agent_registration.htm
countryList.26.BES|Bonarie BES|Bonarie BES
numBusinessesList.1.1|1|1
yearList.3.1984|1984|1984
crownCopyright|http://www.hmrc.gov.uk/copyright/|http://www.hmrc.gov.uk/copyright/
governmentGatewayURL|http://www.gateway.gov.uk|http://www.gateway.gov.uk
intrastat|https://secure.hmce.gov.uk/ecom/is2/static/is2.html|https://secure.hmce.gov.uk/ecom/is2/static/is2.html
yearList.10.1991|1991|1991
numEmploymentsList.1.1|1|1
tAndcIRServices|/information/terms|/information/terms
